0,0.01,0.348,0.234,0.418

0,0.02,0.406,0.194,0.4

0,0.03,0.41,0.214,0.376

0,0.04,0.43,0.196,0.374

0,0.05,0.45,0.19,0.36

0,0.06,0.456,0.184,0.36

0,0.07,0.482,0.176,0.342

0,0.08,0.494,0.172,0.334

0,0.09,0.484,0.182,0.334

0,0.1,0.522,0.168,0.31

0,0.11,0.52,0.186,0.294

0,0.12,0.57,0.152,0.278

0,0.13,0.606,0.144,0.25

0,0.14,0.638,0.112,0.25

0,0.15,0.65,0.13,0.22

0,0.16,0.652,0.132,0.216

0,0.17,0.674,0.116,0.21

0,0.18,0.66,0.132,0.208

0,0.19,0.644,0.136,0.22

0,0.2,0.644,0.138,0.218

0,0.21,0.664,0.136,0.2

0,0.22,0.656,0.142,0.202

0,0.23,0.682,0.118,0.2

0,0.24,0.678,0.124,0.198

0,0.25,0.682,0.132,0.186

0,0.26,0.708,0.112,0.18

0,0.27,0.706,0.132,0.162

0,0.28,0.712,0.128,0.16

0,0.29,0.722,0.132,0.146

0,0.3,0.73,0.124,0.146

0,0.31,0.734,0.118,0.148

0,0.32,0.754,0.094,0.152

0,0.33,0.74,0.12,0.14

0,0.34,0.74,0.13,0.13

0,0.35,0.742,0.122,0.136

0,0.36,0.772,0.096,0.132

0,0.37,0.76,0.104,0.136

0,0.38,0.762,0.112,0.126

0,0.39,0.774,0.114,0.112

0,0.4,0.786,0.108,0.106

0,0.41,0.796,0.096,0.108

0,0.42,0.796,0.102,0.102

0,0.43,0.79,0.114,0.096

0,0.44,0.794,0.116,0.09

0,0.45,0.802,0.12,0.078

0,0.46,0.806,0.122,0.072

0,0.47,0.81,0.114,0.076

0,0.48,0.816,0.112,0.072

0,0.49,0.818,0.12,0.062

0,0.5,0.806,0.126,0.068

0,0.51,0.824,0.098,0.078

0,0.52,0.834,0.1,0.066

0,0.53,0.816,0.114,0.07

0,0.54,0.824,0.11,0.066

0,0.55,0.822,0.116,0.062

0,0.56,0.824,0.112,0.064

0,0.57,0.83,0.102,0.068

0,0.58,0.838,0.102,0.06

0,0.59,0.854,0.09,0.056

0,0.6,0.85,0.094,0.056

0,0.61,0.86,0.092,0.048

0,0.62,0.86,0.092,0.048

0,0.63,0.852,0.092,0.056

0,0.64,0.838,0.096,0.066

